"Country","Quintile","Technology","MaxShare","MaxShare_Sig","GrowthRate","GrowthRate_Sig","InflectionYear","InflectionYear_Sig"
"DE","Q 1","solar",0.95,".",0.15,"",2036.69342222482,"***"
"DE","Q 1","renovation",0.83,"*",0.0583900593055386,"",2009.00099954163,"***"
"DE","Q 1","smartphone",1,"***",0.15,"",1987.77169752565,"***"
"DE","Q 1","internet",1,"***",0.15,"***",2011.50662674217,"***"
"DE","Q 1","fuel_switch",0.45,"**",0.15,"",2029.42063536452,"***"
"DE","Q 2","solar",0.95,"*",0.15,"",2036.17941163355,"***"
"DE","Q 2","renovation",0.83,"*",0.0626233174232529,"",2013.32859622712,"***"
"DE","Q 2","smartphone",1,"***",0.15,"",1981.17112699303,"***"
"DE","Q 2","internet",1,"***",0.15,"***",2008.93947105512,"***"
"DE","Q 2","fuel_switch",0.45,"**",0.15,"",2030.58130234768,"***"
"DE","Q 3","solar",0.95,"*",0.15,"",2035.85349678779,"***"
"DE","Q 3","renovation",0.83,"*",0.0639176741300961,"",2014.10010900704,"***"
"DE","Q 3","smartphone",1,"***",0.15,"",1980,"***"
"DE","Q 3","internet",1,"***",0.15,"***",2005.26667161632,"***"
"DE","Q 3","fuel_switch",0.45,"**",0.15,"",2030.65965693662,"***"
"DE","Q 4","solar",0.95,"**",0.15,".",2035.52851530757,"***"
"DE","Q 4","renovation",0.83,"*",0.0657905913022461,"",2014.4817932695,"***"
"DE","Q 4","smartphone",1,"***",0.15,"",1980,"***"
"DE","Q 4","internet",1,"***",0.15,"**",2000.75479182276,"***"
"DE","Q 4","fuel_switch",0.45,"*",0.15,"",2031.27969088944,"***"
"DE","Q 5","solar",0.95,"***",0.15,"*",2033.56565808861,"***"
"DE","Q 5","renovation",0.83,"*",0.0691121346649577,"",2018.2391180269,"***"
"DE","Q 5","smartphone",1,"***",0.15,"",1980,"***"
"DE","Q 5","internet",1,"***",0.15,"**",1992.8205842444,"***"
"DE","Q 5","fuel_switch",0.45,".",0.15,"",2033.73211524302,"***"
"GB","Q 1","hybrid",0.8,"",0.15,"",2036.51209952146,"***"
"GB","Q 1","solar",0.65,"",0.15,"",2034.68837349722,"***"
"GB","Q 1","smartphone",1,"***",0.15,"***",2015.95850992278,"***"
"GB","Q 1","internet",1,"***",0.15,"***",2011.58906835378,"***"
"GB","Q 1","fuel_switch",0.7,"***",0.0859659377032461,"**",2024.90544323992,"***"
"GB","Q 1","skills",0.95,"***",0.15,"***",2015.98490052682,"***"
"GB","Q 1","commute",0.5,"***",0.109360946061896,"*",2030.7190446073,"***"
"GB","Q 2","hybrid",0.8,"",0.15,"",2036.37126085953,"***"
"GB","Q 2","solar",0.65,"",0.15,"",2034.20620316556,"***"
"GB","Q 2","smartphone",1,"***",0.15,"***",2013.00429568982,"***"
"GB","Q 2","internet",1,"***",0.15,"***",2005.83661340792,"***"
"GB","Q 2","fuel_switch",0.7,"***",0.106148860352239,"***",2025.43155805624,"***"
"GB","Q 2","skills",0.95,"***",0.15,"***",2012.56768758492,"***"
"GB","Q 2","commute",0.5,"**",0.087216939902018,".",2029.23557440826,"***"
"GB","Q 3","hybrid",0.8,"",0.15,"",2035.96637198864,"***"
"GB","Q 3","solar",0.65,"",0.15,"",2033.53629318118,"***"
"GB","Q 3","smartphone",1,"***",0.15,"***",2010.10059490914,"***"
"GB","Q 3","internet",1,"***",0.15,"***",1999.80196008265,"***"
"GB","Q 3","fuel_switch",0.7,"***",0.117213719986826,"***",2026.59415593166,"***"
"GB","Q 3","skills",0.95,"***",0.15,"***",2008.93597924364,"***"
"GB","Q 3","commute",0.5,".",0.07295562157677,"",2028.61462014478,"***"
